"No.","Time","Source","Destination","Protocol","Length","Info"
"888","61.177800800","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","123","Standard query response 0x36e5 AAAA doh.opendns.com AAAA 2620:119:fc::2"
"889","61.177800800","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","123","Standard query response 0xf5fc AAAA doh.opendns.com AAAA 2620:119:fc::2"
"890","61.177800800","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","123","Standard query response 0x2d1e AAAA doh.opendns.com AAAA 2620:119:fc::2"
"891","61.180076900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","111","Standard query response 0x1fb3 A doh.opendns.com A 146.112.41.2"
"892","61.180076900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","111","Standard query response 0xd41e A doh.opendns.com A 146.112.41.2"
"893","61.181155700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","111","Standard query response 0x2e0c A doh.opendns.com A 146.112.41.2"
"894","61.181155700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","141","Standard query response 0x7dd4 HTTPS doh.opendns.com SOA auth1.opendns.com"
"895","61.181155700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","141","Standard query response 0xfe9c HTTPS doh.opendns.com SOA auth1.opendns.com"
"896","61.181155700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","141","Standard query response 0x5a1e HTTPS doh.opendns.com SOA auth1.opendns.com"
"3823","77.780148400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","97","Standard query 0xba21 A crl3.digicert.com"
"3824","77.780277900","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","97","Standard query 0xfb08 AAAA crl3.digicert.com"
