"No.","Time","Source","Destination","Protocol","Length","Info"
"44571","506.829437100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","281","Standard query response 0x2e8e AAAA afdxtest.z01.azurefd.net CNAME azurefd-critical-t-prod.trafficmanager.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net AAAA 2620:1ec:bdf::72 AAAA 2620:1ec:46::72"
"44572","506.830936500","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","257","Standard query response 0x9af0 A afdxtest.z01.azurefd.net CNAME azurefd-critical-t-prod.trafficmanager.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net A 13.107.246.72 A 13.107.213.72"
"44614","506.978112500","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","93","Standard query 0x1e2d HTTPS fp.msedge.net"
"44616","506.978435600","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","93","Standard query 0x4d1f AAAA fp.msedge.net"
"44617","506.978689500","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","93","Standard query 0x86eb A fp.msedge.net"
"44618","506.991781100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","174","Standard query response 0x1e2d HTTPS fp.msedge.net CNAME 1.perf.msedge.net SOA ns1.msedge.net"
"44619","506.991781100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","269","Standard query response 0x4d1f AAAA fp.msedge.net CNAME 1.perf.msedge.net CNAME a-0019.a-msedge.net CNAME a-0019.a.dns.azurefd.net CNAME a-0019.standard.a-msedge.net SOA ns1.a-msedge.net"
"44620","506.994478400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","225","Standard query response 0x86eb A fp.msedge.net CNAME 1.perf.msedge.net CNAME a-0019.a-msedge.net CNAME a-0019.a.dns.azurefd.net CNAME a-0019.standard.a-msedge.net A 204.79.197.222"
"44633","507.079193900","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","108","Standard query 0x5651 HTTPS update.code.visualstudio.com"
"44634","507.079948300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","108","Standard query 0xb581 AAAA update.code.visualstudio.com"
"44635","507.080236300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","108","Standard query 0xc4d6 A update.code.visualstudio.com"
"44645","507.093995700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","325","Standard query response 0x5651 HTTPS update.code.visualstudio.com CNAME vscode-update-g6gcb6ggdthkctd9.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net SOA ns1.t-msedge.net"
"44646","507.095387000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","324","Standard query response 0xb581 AAAA update.code.visualstudio.com CNAME vscode-update-g6gcb6ggdthkctd9.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net AAAA 2620:1ec:bdf::72 AAAA 2620:1ec:46::72"
"44647","507.095387000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","300","Standard query response 0xc4d6 A update.code.visualstudio.com CNAME vscode-update-g6gcb6ggdthkctd9.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net A 13.107.246.72 A 13.107.213.72"
"44687","507.290133100","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x6176 HTTPS main.vscode-cdn.net"
"44688","507.290494000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0xb272 AAAA main.vscode-cdn.net"
"44689","507.290761700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0xa554 A main.vscode-cdn.net"
"44690","507.300920900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","292","Standard query response 0xb272 AAAA main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net AAAA 2620:1ec:bdf::72 AAAA 2620:1ec:46::72"
"44691","507.303215500","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","296","Standard query response 0x6176 HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net SOA ns1.t-msedge.net"
"44692","507.308171400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","268","Standard query response 0xa554 A main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0044.t-0009.t-msedge.net CNAME part-0044.t-0009.t-msedge.net A 13.107.246.72 A 13.107.213.72"
"44809","508.964430000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","108","Standard query 0xaa63 HTTPS marketplace.visualstudio.com"
"44810","508.964750300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","108","Standard query 0xf472 AAAA marketplace.visualstudio.com"
"44811","508.965022400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","108","Standard query 0x9684 A marketplace.visualstudio.com"
"44812","508.977880700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","259","Standard query response 0xf472 AAAA marketplace.visualstudio.com CNAME market-l0.trafficmanager.net CNAME market.bx-0007.bx-msedge.net CNAME bx-0007.bx-msedge.net AAAA 2603:1061:10::16 AAAA 2603:1061:10:1::16"
"44813","508.977880700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","235","Standard query response 0x9684 A marketplace.visualstudio.com CNAME market-l0.trafficmanager.net CNAME market.bx-0007.bx-msedge.net CNAME bx-0007.bx-msedge.net A 150.171.73.16 A 150.171.74.16"
"44814","508.982148700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","260","Standard query response 0xaa63 HTTPS marketplace.visualstudio.com CNAME market-l0.trafficmanager.net CNAME market.bx-0007.bx-msedge.net CNAME bx-0007.bx-msedge.net SOA ns1.bx-msedge.net"
"44944","509.756136400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x21a3 HTTPS mobile.events.data.microsoft.com"
"44945","509.756299500","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x40e6 AAAA mobile.events.data.microsoft.com"
"44946","509.756392600","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0xc3b9 A mobile.events.data.microsoft.com"
"44947","509.771841400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","280","Standard query response 0x40e6 AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus13.centralus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"44948","509.771841400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","235","Standard query response 0xc3b9 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus13.centralus.cloudapp.azure.com A 52.182.143.211"
"44949","509.771841400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","280","Standard query response 0x21a3 HTTPS mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus13.centralus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"44960","510.272424200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x7596 A mobile.events.data.microsoft.com"
"44961","510.272598500","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x1c2b AAAA mobile.events.data.microsoft.com"
"44962","510.284432000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","235","Standard query response 0x7596 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus13.centralus.cloudapp.azure.com A 52.182.143.211"
"44963","510.286338900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","280","Standard query response 0x1c2b AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus13.centralus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"49012","536.899323800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0xdc55 A mobile.events.data.microsoft.com"
"49013","536.899405200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x5d09 AAAA mobile.events.data.microsoft.com"
"49014","536.913722200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","280","Standard query response 0x5d09 AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus13.centralus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"49015","536.913722200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","235","Standard query response 0xdc55 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus13.centralus.cloudapp.azure.com A 52.182.143.211"
"49105","553.574104200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x43b2 A default.exp-tas.com"
"49106","553.574177000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x3280 AAAA default.exp-tas.com"
"49107","553.584614700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","222","Standard query response 0x3280 AAAA default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net SOA ns1.e-msedge.net"
"49108","553.585520700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","181","Standard query response 0x43b2 A default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net A 13.107.5.93"
"49233","555.555703100","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x99fb A mobile.events.data.microsoft.com"
"49234","555.555825100","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x8161 AAAA mobile.events.data.microsoft.com"
"49237","555.569421300","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","235","Standard query response 0x99fb A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus13.centralus.cloudapp.azure.com A 52.182.143.211"
"49238","555.569421300","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","280","Standard query response 0x8161 AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus13.centralus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"49961","571.361516000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","101","Standard query 0xcb60 HTTPS config.edge.skype.com"
"49962","571.361786400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","101","Standard query 0x4488 AAAA config.edge.skype.com"
"49963","571.361994300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","101","Standard query 0x8371 A config.edge.skype.com"
"49966","571.372440900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","276","Standard query response 0x4488 AAAA config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME ln-0007.config.skype.com CNAME config-edge-skype.ln-0007.ln-msedge.net CNAME ln-0007.ln-msedge.net AAAA 2620:1ec:50::17"
"49967","571.372440900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","264","Standard query response 0x8371 A config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME ln-0007.config.skype.com CNAME config-edge-skype.ln-0007.ln-msedge.net CNAME ln-0007.ln-msedge.net A 150.171.22.17"
"49968","571.374078700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","305","Standard query response 0xcb60 HTTPS config.edge.skype.com CNAME config.edge.skype.com.trafficmanager.net CNAME ln-0007.config.skype.com CNAME config-edge-skype.ln-0007.ln-msedge.net CNAME ln-0007.ln-msedge.net SOA ns1.ln-msedge.net"
"49970","571.383996900","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","91","Standard query 0x3d37 HTTPS chatgpt.com"
"49971","571.384483700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","91","Standard query 0xd9c9 AAAA chatgpt.com"
"49972","571.384759100","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","91","Standard query 0x9d62 A chatgpt.com"
"49975","571.396610000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","91","Standard query 0x9ed6 AAAA chatgpt.com"
"49976","571.396859600","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","91","Standard query 0x9a94 A chatgpt.com"
"49979","571.397981600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","152","Standard query response 0x3d37 HTTPS chatgpt.com SOA hassan.ns.cloudflare.com"
"49980","571.398577700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","119","Standard query response 0xd9c9 AAAA chatgpt.com AAAA 2606:4700:83b2:7cbc:c2a5:4d0:5ff2:75c4"
"49981","571.400397100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","123","Standard query response 0x9d62 A chatgpt.com A 104.18.32.47 A 172.64.155.209"
"49982","571.412058200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","119","Standard query response 0x9ed6 AAAA chatgpt.com AAAA 2606:4700:83b2:7cbc:c2a5:4d0:5ff2:75c4"
"49983","571.412058200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","123","Standard query response 0x9a94 A chatgpt.com A 104.18.32.47 A 172.64.155.209"
"49995","571.430166200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","92","Standard query 0x01d1 HTTPS www.bing.com"
"49996","571.430465500","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","92","Standard query 0x8857 AAAA www.bing.com"
"49997","571.430735600","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","92","Standard query 0x262c A www.bing.com"
"50007","571.441237200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","274","Standard query response 0x01d1 HTTPS www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net"
"50009","571.442298200","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","357","Standard query response 0x262c A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net A 23.215.215.243 A 23.215.215.227 A 23.215.215.224 A 23.215.215.248 A 23.215.215.226 A 23.215.215.233 A 23.215.215.234 A 23.215.215.219 A 23.215.215.241"
"50010","571.443909000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","353","Standard query response 0x8857 AAAA www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net AAAA 2600:140f:9800::17c8:eef8 AAAA 2600:140f:9800::17d7:d7c8 AAAA 2600:140f:9800::17d7:d7c3 AAAA 2600:140f:9800::17d7:d7d1 AAAA 2600:140f:9800::17d7:d7c9"
"50301","571.740310700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","94","Standard query 0x7644 A login.live.com"
"50302","571.740469100","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","94","Standard query 0x026f AAAA login.live.com"
"50320","571.758886600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","379","Standard query response 0x7644 A login.live.com CNAME login.msa.msidentity.com CNAME www.tm.lg.prod.aadmsa.akadns.net CNAME prdv4a.aadg.msidentity.com CNAME www.tm.v4.a.prd.aadg.trafficmanager.net A 20.190.146.33 A 20.190.146.34 A 20.190.146.38 A 20.190.146.35 A 40.126.18.33 A 20.190.146.32 A 20.190.146.36 A 40.126.18.32"
"50321","571.758886600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","309","Standard query response 0x026f AAAA login.live.com CNAME login.msa.msidentity.com CNAME www.tm.lg.prod.aadmsa.akadns.net CNAME prdv4a.aadg.msidentity.com CNAME www.tm.v4.a.prd.aadg.trafficmanager.net SOA tm1.dns-tm.com"
"50362","572.029732800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","94","Standard query 0xd85f HTTPS ab.chatgpt.com"
"50363","572.030083200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","94","Standard query 0x5116 AAAA ab.chatgpt.com"
"50364","572.030328200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","94","Standard query 0x9b49 A ab.chatgpt.com"
"50366","572.040999600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","155","Standard query response 0xd85f HTTPS ab.chatgpt.com SOA hassan.ns.cloudflare.com"
"50367","572.040999600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","122","Standard query response 0x5116 AAAA ab.chatgpt.com AAAA 2606:4700:83b2:7cbc:c242:348:5ff2:75c4"
"50368","572.041854600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","126","Standard query response 0x9b49 A ab.chatgpt.com A 172.64.155.209 A 104.18.32.47"
"51298","572.800656100","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","149","Standard query 0x55a7 HTTPS aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com"
"51299","572.800777800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","149","Standard query 0xac1c AAAA aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com"
"51300","572.800851600","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","149","Standard query 0x7adb A aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com"
"51304","572.801412700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","98","Standard query 0x985a HTTPS edge.microsoft.com"
"51305","572.801636800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","98","Standard query 0x55f3 AAAA edge.microsoft.com"
"51306","572.801815600","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","98","Standard query 0x3e55 A edge.microsoft.com"
"51309","572.810836100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","298","Standard query response 0x55a7 HTTPS aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com CNAME edge-cloudmessaging-access-point-aks-prod-sea.southeastasia.cloudapp.azure.com SOA ns1-01.azure-dns.com"
"51310","572.814774600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","298","Standard query response 0xac1c AAAA aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com CNAME edge-cloudmessaging-access-point-aks-prod-sea.southeastasia.cloudapp.azure.com SOA ns1-01.azure-dns.com"
"51311","572.817156300","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","254","Standard query response 0x7adb A aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com CNAME edge-cloudmessaging-access-point-aks-prod-sea.southeastasia.cloudapp.azure.com A 172.188.155.25"
"51312","572.817156300","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","213","Standard query response 0x985a HTTPS edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net SOA ns1.ax-msedge.net"
"51313","572.817156300","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","222","Standard query response 0x55f3 AAAA edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net AAAA 2620:1ec:33::11 AAAA 2620:1ec:33:1::11"
"51316","572.819385000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","198","Standard query response 0x3e55 A edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net A 150.171.27.11 A 150.171.28.11"
"51543","572.932481900","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x3cca HTTPS mobile.events.data.microsoft.com"
"51544","572.933528500","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0xe975 AAAA mobile.events.data.microsoft.com"
"51545","572.933885700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x188d A mobile.events.data.microsoft.com"
"51580","572.946004000","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","276","Standard query response 0x3cca HTTPS mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus02.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com"
"51581","572.948031700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","232","Standard query response 0x188d A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus02.westus.cloudapp.azure.com A 20.189.173.3"
"51582","572.948031700","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","276","Standard query response 0xe975 AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus02.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com"
"52194","574.097557400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","94","Standard query 0xc633 HTTPS ws.chatgpt.com"
"52195","574.097778800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","94","Standard query 0x1edb AAAA ws.chatgpt.com"
"52196","574.097985500","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","94","Standard query 0x23a7 A ws.chatgpt.com"
"52198","574.107955100","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","126","Standard query response 0x23a7 A ws.chatgpt.com A 104.18.39.21 A 172.64.148.235"
"52199","574.109722900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","139","Standard query response 0xc633 HTTPS ws.chatgpt.com HTTPS"
"52200","574.109722900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","122","Standard query response 0x1edb AAAA ws.chatgpt.com AAAA 2606:4700:83b1:d8b7:9a42:348:ccf5:ac50"
"52280","574.470400300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x2278 HTTPS graph.microsoft.com"
"52281","574.470545200","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x3adf AAAA graph.microsoft.com"
"52282","574.470620000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","99","Standard query 0x9062 A graph.microsoft.com"
"52283","574.481654400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","245","Standard query response 0x2278 HTTPS graph.microsoft.com CNAME ags.privatelink.msidentity.com CNAME www.tm.prd.ags.trafficmanager.net SOA tm1.dns-tm.com"
"52284","574.481654400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","271","Standard query response 0x3adf AAAA graph.microsoft.com CNAME ags.privatelink.msidentity.com CNAME www.tm.prd.ags.trafficmanager.net AAAA 2603:1046:2000:60::83 AAAA 2603:1046:2000:60::84 AAAA 2603:1046:2000:60::80"
"52285","574.485960300","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","235","Standard query response 0x9062 A graph.microsoft.com CNAME ags.privatelink.msidentity.com CNAME www.tm.prd.ags.trafficmanager.net A 20.190.175.24 A 20.190.175.88 A 20.190.175.152"
"53764","597.202226700","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x80e0 A mobile.events.data.microsoft.com"
"53765","597.202292800","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0xba0d AAAA mobile.events.data.microsoft.com"
"53767","597.230935400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","276","Standard query response 0xba0d AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus02.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com"
"53768","597.231571400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","232","Standard query response 0x80e0 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus02.westus.cloudapp.azure.com A 20.189.173.3"
"53933","602.709014400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0xd554 A mobile.events.data.microsoft.com"
"53934","602.709170000","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","112","Standard query 0x39de AAAA mobile.events.data.microsoft.com"
"53935","602.722119900","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","232","Standard query response 0xd554 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus02.westus.cloudapp.azure.com A 20.189.173.3"
"53936","602.723039400","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","276","Standard query response 0x39de AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus02.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com"
"54058","616.836127300","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","94","Standard query 0xe699 A ecs.office.com"
"54059","616.836186400","fe80::3d3:b157:db3d:565d","fe80::e36:23ff:fec4:7760","DNS","94","Standard query 0x58f7 AAAA ecs.office.com"
"54060","616.849014600","fe80::e36:23ff:fec4:7760","fe80::3d3:b157:db3d:565d","DNS","299","Standard query response 0x58f7 AAAA ecs.office.com CNAME ecs.office.trafficmanager.net CNAME dual-s-0005-office.config.skype.com CNAME ecs-office.s-0005.dual-s-msedge.net CNAME s-0005.dual-s-msedge.net AAAA 2603:1063:27:1::14 AAAA 2603:1063:27:2::14"
